time,x_est,y_est,theta,x_meas,y_meas
0.00000,0.08900,0.06216,0.01560,0.03902,0.34214
0.10000,0.09832,-0.02851,0.00868,-0.35442,-0.47388
0.20000,0.20094,-0.02484,0.01945,0.21495,-0.01084
0.30000,0.35710,-0.06661,0.01338,0.67333,-0.28621
0.40000,0.49053,0.11208,0.10027,0.68835,0.99706
0.50000,0.60412,0.15351,0.12554,0.69037,0.30795
0.60000,0.77477,0.15399,0.12665,1.21381,0.10211
0.70000,0.92845,0.13574,0.11637,1.26568,-0.00178
0.80000,0.98261,0.06424,0.07854,0.68420,-0.32057
0.90000,1.17630,-0.17620,-0.07148,1.73651,-1.26410
1.00000,1.22693,-0.37065,-0.17965,0.88967,-1.19098
1.10000,1.29045,-0.38363,-0.16652,1.06453,-0.36334
1.20000,1.32932,-0.41853,-0.17004,0.94175,-0.49254
1.30000,1.42592,-0.50108,-0.20326,1.42129,-0.77518
1.40000,1.51990,-0.48484,-0.16956,1.48699,-0.33281
1.50000,1.67324,-0.57220,-0.20178,2.04759,-0.87635
1.60000,1.86335,-0.61978,-0.20174,2.47237,-0.75986
1.70000,2.01795,-0.57037,-0.14081,2.36427,-0.30354
1.80000,2.19645,-0.60706,-0.13791,2.72272,-0.72696
1.90000,2.30378,-0.50727,-0.05319,2.31874,-0.04538
2.00000,2.31434,-0.56440,-0.08429,1.74650,-0.74807
2.10000,2.40556,-0.56619,-0.07062,2.34844,-0.53669
2.20000,2.61484,-0.60728,-0.07508,3.34194,-0.77605
2.30000,2.71280,-0.64598,-0.08542,2.70944,-0.77241
2.40000,2.76896,-0.75419,-0.14270,2.50896,-1.14857
2.50000,2.76494,-0.69532,-0.09264,2.06978,-0.36984
2.60000,2.93436,-0.79671,-0.13736,3.41686,-1.19045
2.70000,2.95121,-0.66037,-0.03672,2.37064,-0.02561
2.80000,3.06621,-0.52362,0.06458,3.13051,0.04504
2.90000,3.15071,-0.71423,-0.05298,3.08505,-1.51399
3.00000,3.28920,-0.66742,-0.00796,3.53454,-0.46173
3.10000,3.38607,-0.78641,-0.07418,3.38213,-1.26698
3.20000,3.55676,-0.93332,-0.15154,4.04416,-1.51168
3.30000,3.69216,-0.95831,-0.14615,3.93428,-1.00543
3.40000,3.85216,-1.01139,-0.15732,4.26160,-1.18183
3.50000,3.93308,-1.13086,-0.21497,3.84150,-1.55122
3.60000,4.02469,-1.07947,-0.15907,3.96336,-0.77914
3.70000,4.04998,-1.10789,-0.16346,3.57296,-1.13653
3.80000,4.15509,-1.12191,-0.15144,4.19657,-1.11475
3.90000,4.25457,-1.02537,-0.07031,4.22058,-0.56612
4.00000,4.34835,-0.92491,0.00776,4.27540,-0.48131
4.10000,4.53782,-0.87541,0.05462,5.11219,-0.69885
4.20000,4.64675,-0.85715,0.07322,4.70398,-0.80649
4.30000,4.74733,-1.03190,-0.03369,4.77599,-1.77605
4.40000,4.91404,-0.94225,0.03757,5.34258,-0.57023
4.50000,5.00006,-0.84115,0.10999,4.90089,-0.44304
4.60000,5.05097,-0.63296,0.24711,4.72850,0.17221
4.70000,5.15089,-0.62050,0.24929,5.16925,-0.66938
4.80000,5.29586,-0.46590,0.33923,5.63571,0.07682
4.90000,5.20132,-0.44735,0.35844,3.96188,-0.56484
